Peak Height (a)	Peak Center (b)	Peak Sigma (c)
0.16298569391018716	823.66	3.2741355401116006
0.6181008773825475	887.32	4.097977686391383
0.974975148031292	937.47	5.732922151946441
0.6192678393914509	983.77	0.8195955372782959
0.485456195703851	1057.07	4.093731077389945
0.00929247525608333	1122.65	32.76683505512492
