Wavenumber	Reflectance
3387.24	0.48664
3385.32	0.48577
3383.39	0.48550
3381.46	0.48606
3379.53	0.48601
3377.60	0.48573
3375.67	0.48569
3373.74	0.48552
3371.81	0.48573
3369.88	0.48593
3367.96	0.48553
3366.03	0.48486
3364.10	0.48411
3362.17	0.48376
3360.24	0.48414
3358.31	0.48418
3356.38	0.48384
3354.45	0.48406
3352.52	0.48451
3350.60	0.48420
3348.67	0.48386
3346.74	0.48443
3344.81	0.48472
3342.88	0.48460
3340.95	0.48473
3339.02	0.48476
3337.09	0.48466
3335.16	0.48435
3333.23	0.48422
3331.31	0.48438
3329.38	0.48416
3327.45	0.48410
3325.52	0.48438
3323.59	0.48408
3321.66	0.48369
3319.73	0.48400
3317.80	0.48408
3315.87	0.48377
3313.94	0.48382
3312.02	0.48431
3310.09	0.48473
3308.16	0.48464
3306.23	0.48432
3304.30	0.48412
3302.37	0.48436
3300.44	0.48418
3298.51	0.48405
3296.58	0.48447
3294.65	0.48453
3292.73	0.48462
3290.80	0.48461
3288.87	0.48441
3286.94	0.48464
3285.01	0.48460
3283.08	0.48427
3281.15	0.48401
3279.22	0.48370
3277.29	0.48344
3275.37	0.48356
3273.44	0.48411
3271.51	0.48413
3269.58	0.48363
3267.65	0.48385
3265.72	0.48391
3263.79	0.48365
3261.86	0.48335
3259.93	0.48345
3258.01	0.48355
3256.08	0.48330
3254.15	0.48356
3252.22	0.48383
3250.29	0.48379
3248.36	0.48379
3246.43	0.48385
3244.50	0.48392
3242.57	0.48416
3240.65	0.48409
3238.72	0.48370
3236.79	0.48317
3234.86	0.48279
3232.93	0.48300
3231.00	0.48303
3229.07	0.48294
3227.14	0.48278
3225.21	0.48284
3223.28	0.48317
3221.35	0.48352
3219.43	0.48376
3217.50	0.48363
3215.57	0.48353
3213.64	0.48351
3211.71	0.48323
3209.78	0.48313
3207.85	0.48378
3205.92	0.48412
3203.99	0.48372
3202.07	0.48389
3200.14	0.48419
3198.21	0.48392
3196.28	0.48408
3194.35	0.48454
3192.42	0.48444
3190.49	0.48447
3188.56	0.48471
3186.63	0.48428
3184.70	0.48440
3182.78	0.48492
3180.85	0.48461
3178.92	0.48476
3176.99	0.48500
3175.06	0.48429
3173.13	0.48370
3171.20	0.48403
3169.27	0.48470
3167.34	0.48513
3165.42	0.48513
3163.49	0.48480
3161.56	0.48456
3159.63	0.48457
3157.70	0.48454
3155.77	0.48437
3153.84	0.48442
3151.91	0.48477
3149.98	0.48489
3148.05	0.48506
3146.13	0.48489
3144.20	0.48490
3142.27	0.48508
3140.34	0.48463
3138.41	0.48433
3136.48	0.48424
3134.55	0.48450
3132.62	0.48491
3130.69	0.48489
3128.76	0.48505
3126.84	0.48456
3124.91	0.48411
3122.98	0.48458
3121.05	0.48485
3119.12	0.48466
3117.19	0.48436
3115.26	0.48383
3113.33	0.48374
3111.40	0.48380
3109.48	0.48346
3107.55	0.48321
3105.62	0.48339
3103.69	0.48330
3101.76	0.48323
3099.83	0.48353
3097.90	0.48332
3095.97	0.48296
3094.04	0.48302
3092.11	0.48287
3090.19	0.48261
3088.26	0.48256
3086.33	0.48269
3084.40	0.48259
3082.47	0.48234
3080.54	0.48218
3078.61	0.48211
3076.68	0.48153
3074.75	0.48116
3072.83	0.48143
3070.90	0.48157
3068.97	0.48137
3067.04	0.48098
3065.11	0.48043
3063.18	0.48015
3061.25	0.47979
3059.32	0.47954
3057.39	0.47959
3055.46	0.47944
3053.54	0.47940
3051.61	0.47942
3049.68	0.47895
3047.75	0.47840
3045.82	0.47835
3043.89	0.47811
3041.96	0.47718
3040.03	0.47661
3038.10	0.47636
3036.18	0.47598
3034.25	0.47547
3032.32	0.47523
3030.39	0.47492
3028.46	0.47439
3026.53	0.47404
3024.60	0.47346
3022.67	0.47301
3020.74	0.47280
3018.81	0.47210
3016.89	0.47120
3014.96	0.47036
3013.03	0.46964
3011.10	0.46913
3009.17	0.46883
3007.24	0.46830
3005.31	0.46770
3003.38	0.46693
3001.45	0.46625
2999.52	0.46570
2997.60	0.46482
2995.67	0.46378
2993.74	0.46292
2991.81	0.46202
2989.88	0.46143
2987.95	0.46107
2986.02	0.46055
2984.09	0.45966
2982.17	0.45868
2980.24	0.45798
2978.31	0.45771
2976.38	0.45690
2974.45	0.45568
2972.52	0.45491
2970.59	0.45444
2968.66	0.45348
2966.73	0.45237
2964.80	0.45124
2962.88	0.45032
2960.95	0.45002
2959.02	0.45003
2957.09	0.45020
2955.16	0.45023
2953.23	0.44968
2951.30	0.44898
2949.37	0.44889
2947.44	0.44937
2945.51	0.44933
2943.59	0.44825
2941.66	0.44677
2939.73	0.44569
2937.80	0.44485
2935.87	0.44382
