Wavenumber	Reflectance									
3553.135128	0.36935									
3551.206101	0.36708									
3549.277152	0.36421									
3547.348788	0.36108									
3545.419878	0.35874									
3543.49093	0.35714									
3541.561947	0.35514									
3539.632934	0.35293									
3537.704018	0.35120									
3535.775078	0.34953									
3533.846118	0.34813									
3531.916392	0.34666									
3529.987526	0.34513									
3528.05865	0.34393									
3526.129643	0.34333									
3524.200881	0.34259									
3522.271747	0.34232									
3520.342864	0.34226									
3518.413865	0.34206									
3516.484753	0.34166									
3514.555532	0.34126									
3512.626822	0.34106									
3510.697763	0.34119									
3508.768852	0.34146									
3506.839969	0.34192									
3504.910871	0.34239									
3502.982054	0.34326									
3501.053765	0.34439									
3499.124781	0.34533									
3497.195721	0.34606									
3495.26671	0.34720									
3493.337873	0.34860									
3491.408969	0.35000									
3489.480003	0.35087									
3487.551099	0.35160									
3485.621654	0.35253									
3483.693007	0.35340									
3481.763827	0.35400									
3479.835086	0.35460									
3477.906063	0.35514									
3475.977002	0.35554									
3474.048027	0.35574									
3472.119144	0.35587									
3470.191076	0.35600									
3468.261901	0.35634									
3466.333187	0.35654									
3464.403977	0.35647									
3462.475234	0.35620									
3460.546123	0.35647									
3458.617008	0.35707									
3456.688249	0.35761									
3454.758657	0.35781									
3452.829907	0.35814									
3450.900927	0.35881									
3448.971841	0.35927									
3447.043009	0.35974									
3445.11396	0.36048									
3443.185172	0.36094									
3441.256056	0.36194									
3439.326734	0.36321									
3437.397684	0.36428									
3435.46879	0.36508									
3433.539702	0.36568									
3431.611012	0.36641									
3429.681783	0.36741									
3427.752842	0.36848									
3425.82384	0.36942									
3423.8956	0.37042									
3421.966837	0.37122									
3420.037906	0.37209									
3418.108929	0.37322									
3416.179909	0.37429									
3414.251084	0.37509									
3412.32199	0.37602									
3410.393098	0.37676									
3408.463597	0.37756									
3406.534653	0.37843									
3404.605689	0.37916									
3402.676709	0.37996									
3400.747716	0.38089									
3398.818944	0.38170									
3396.889821	0.38256									
3394.960812	0.38336									
3393.031805	0.38416									
3391.102689	0.38496									
3389.173928	0.38550									
3387.244835	0.38577									
3385.315989	0.38610									
3383.387049	0.38683									
3381.458018	0.38790									
3379.529017	0.38884									
3377.600846	0.38937									
3375.671797	0.38990									
3373.742901	0.39037									
3371.814049	0.39084									
3369.884902	0.39157									
3367.956147	0.39204									
3366.027106	0.39257									
3364.098123	0.39324									
3362.168863	0.39397									
3360.240007	0.39457									
3358.310882	0.39511									
3356.382169	0.39551									
3354.453194	0.39618									
3352.524075	0.39704									
3350.595265	0.39764									
3348.666318	0.39778									
3346.736567	0.39831									
3344.807472	0.39898									
3342.878812	0.39945									
3340.949585	0.40011									
3339.020799	0.40071									
3337.0919	0.40118									
3335.162781	0.40185									
3333.234003	0.40278									
3331.305679	0.40318									
3329.376591	0.40352									
3327.447633	0.40418									
3325.518808	0.40485									
3323.589897	0.40512									
3321.660796	0.40552									
3319.731949	0.40605									
3317.802809	0.40679									
3315.873711	0.40745									
3313.944878	0.40785									
3312.015765	0.40832									
3310.086814	0.40879									
3308.15803	0.40939									
3306.229088	0.40992									
3304.299991	0.41039									
3302.371182	0.41092									
3300.441682	0.41152									
3298.512694	0.41212									
3296.583569	0.41266									
3294.654746	0.41299									
3292.725684	0.41326									
3290.796931	0.41393									
3288.86784	0.41459									
3286.938957	0.41506									
3285.010716	0.41553									
3283.081718	0.41579									
3281.152939	0.41613									
3279.223844	0.41666									
3277.294976	0.41706									
3275.366015	0.41753									
3273.437073	0.41793									
3271.508047	0.41820									
3269.578835	0.41846									
3267.649868	0.41906									
3265.721042	0.41953									
3263.792043	0.41993									
3261.86298	0.42027									
3259.934177	0.42053									
3258.005106	0.42060									
3256.07609	0.42093									
3254.147875	0.42127									
3252.218769	0.42167									
3250.289836	0.42193									
3248.360869	0.42213									
3246.431871	0.42247									
3244.502952	0.42307									
3242.573906	0.42353									
3240.645052	0.42374									
3238.715449	0.42407									
3236.786781	0.42454									
3234.857583	0.42480									
3232.928698	0.42514									
3230.999815	0.42547									
3229.070834	0.42580									
3227.141864	0.42627									
3225.213012	0.42680									
3223.28366	0.42707									
